DT;Period;WS50M
01/01/2021;1;5.58
02/01/2021;2;4.59
03/01/2021;3;3.05
04/01/2021;4;2.95
05/01/2021;5;3.56
06/01/2021;6;3.94
07/01/2021;7;9.41
08/01/2021;8;5.88
09/01/2021;9;6.23
10/01/2021;10;3.7
11/01/2021;11;4.92
12/01/2021;12;2.99
13/01/2021;13;3.38
14/01/2021;14;4.52
15/01/2021;15;4.35
16/01/2021;16;7.56
17/01/2021;17;3.32
18/01/2021;18;4.7
19/01/2021;19;9.16
20/01/2021;20;5.31
21/01/2021;21;2.69
22/01/2021;22;4.03
23/01/2021;23;7.52
24/01/2021;24;8.99
25/01/2021;25;5.33
26/01/2021;26;2.85
27/01/2021;27;8.15
28/01/2021;28;6.35
29/01/2021;29;7.84
30/01/2021;30;5.08
31/01/2021;31;5.76
01/02/2021;32;6.21
02/02/2021;33;7.67
03/02/2021;34;3.83
04/02/2021;35;7.62
05/02/2021;36;3.7
06/02/2021;37;3.46
07/02/2021;38;4.23
08/02/2021;39;5.0
09/02/2021;40;5.99
10/02/2021;41;3.41
11/02/2021;42;6.52
12/02/2021;43;2.95
13/02/2021;44;5.02
14/02/2021;45;6.31
15/02/2021;46;10.16
16/02/2021;47;10.45
17/02/2021;48;11.49
18/02/2021;49;5.56
19/02/2021;50;5.31
20/02/2021;51;8.53
21/02/2021;52;5.64
22/02/2021;53;6.41
23/02/2021;54;8.2
24/02/2021;55;7.39
25/02/2021;56;4.77
26/02/2021;57;5.74
27/02/2021;58;9.46
28/02/2021;59;3.88
01/03/2021;60;6.41
02/03/2021;61;12.77
03/03/2021;62;8.73
04/03/2021;63;3.26
05/03/2021;64;2.23
06/03/2021;65;6.92
07/03/2021;66;5.51
08/03/2021;67;4.87
09/03/2021;68;4.3
10/03/2021;69;7.79
11/03/2021;70;4.16
12/03/2021;71;3.0
13/03/2021;72;7.55
14/03/2021;73;9.27
15/03/2021;74;5.75
16/03/2021;75;6.96
17/03/2021;76;6.2
18/03/2021;77;4.2
19/03/2021;78;5.14
20/03/2021;79;4.8
21/03/2021;80;12.04
22/03/2021;81;6.55
23/03/2021;82;3.9
24/03/2021;83;6.41
25/03/2021;84;6.01
26/03/2021;85;6.63
27/03/2021;86;4.73
28/03/2021;87;10.36
29/03/2021;88;5.78
30/03/2021;89;3.66
31/03/2021;90;5.2
01/04/2021;91;3.83
02/04/2021;92;5.41
03/04/2021;93;3.88
04/04/2021;94;8.37
05/04/2021;95;8.28
06/04/2021;96;6.6
07/04/2021;97;3.43
08/04/2021;98;4.93
09/04/2021;99;5.95
10/04/2021;100;5.16
11/04/2021;101;3.44
12/04/2021;102;3.96
13/04/2021;103;8.62
14/04/2021;104;8.38
15/04/2021;105;5.33
16/04/2021;106;4.21
17/04/2021;107;6.52
18/04/2021;108;9.04
19/04/2021;109;4.89
20/04/2021;110;3.52
21/04/2021;111;4.84
22/04/2021;112;7.41
23/04/2021;113;4.96
24/04/2021;114;3.63
25/04/2021;115;5.2
26/04/2021;116;7.97
27/04/2021;117;5.77
28/04/2021;118;7.88
29/04/2021;119;11.09
30/04/2021;120;6.11
01/05/2021;121;8.13
02/05/2021;122;9.84
03/05/2021;123;5.39
04/05/2021;124;4.3
05/05/2021;125;10.66
06/05/2021;126;4.95
07/05/2021;127;3.07
08/05/2021;128;5.63
09/05/2021;129;8.23
10/05/2021;130;4.24
11/05/2021;131;2.98
12/05/2021;132;4.31
13/05/2021;133;4.84
14/05/2021;134;4.22
15/05/2021;135;5.23
16/05/2021;136;7.2
17/05/2021;137;11.88
18/05/2021;138;4.45
19/05/2021;139;3.13
20/05/2021;140;3.73
21/05/2021;141;12.25
22/05/2021;142;5.89
23/05/2021;143;3.92
24/05/2021;144;4.78
25/05/2021;145;6.76
26/05/2021;146;3.62
27/05/2021;147;4.09
28/05/2021;148;5.06
29/05/2021;149;8.52
30/05/2021;150;4.13
31/05/2021;151;4.58
01/06/2021;152;4.36
02/06/2021;153;4.7
03/06/2021;154;3.98
04/06/2021;155;10.3
05/06/2021;156;4.07
06/06/2021;157;3.09
07/06/2021;158;3.35
08/06/2021;159;3.44
09/06/2021;160;4.15
10/06/2021;161;3.09
11/06/2021;162;4.04
12/06/2021;163;5.94
13/06/2021;164;5.42
14/06/2021;165;3.7
15/06/2021;166;3.48
16/06/2021;167;4.0
17/06/2021;168;5.7
18/06/2021;169;4.35
19/06/2021;170;6.4
20/06/2021;171;4.9
21/06/2021;172;4.3
22/06/2021;173;3.59
23/06/2021;174;3.86
24/06/2021;175;5.02
25/06/2021;176;3.81
26/06/2021;177;2.77
27/06/2021;178;2.4
28/06/2021;179;3.45
29/06/2021;180;6.3
30/06/2021;181;3.85
01/07/2021;182;3.84
02/07/2021;183;6.18
03/07/2021;184;4.7
04/07/2021;185;2.53
05/07/2021;186;2.2
06/07/2021;187;3.21
07/07/2021;188;4.14
08/07/2021;189;4.29
09/07/2021;190;3.17
10/07/2021;191;3.48
11/07/2021;192;2.18
12/07/2021;193;2.38
13/07/2021;194;2.64
14/07/2021;195;3.4
15/07/2021;196;3.21
16/07/2021;197;2.65
17/07/2021;198;3.03
18/07/2021;199;5.15
19/07/2021;200;3.55
20/07/2021;201;3.15
21/07/2021;202;3.25
22/07/2021;203;3.83
23/07/2021;204;4.05
24/07/2021;205;3.2
25/07/2021;206;2.73
26/07/2021;207;4.45
27/07/2021;208;6.37
28/07/2021;209;4.88
29/07/2021;210;7.26
30/07/2021;211;4.55
31/07/2021;212;2.3
01/08/2021;213;4.92
02/08/2021;214;3.91
03/08/2021;215;6.88
04/08/2021;216;4.02
05/08/2021;217;2.43
06/08/2021;218;2.97
07/08/2021;219;4.07
08/08/2021;220;8.31
09/08/2021;221;14.21
10/08/2021;222;9.35
11/08/2021;223;3.04
12/08/2021;224;3.66
13/08/2021;225;6.73
14/08/2021;226;11.66
15/08/2021;227;4.63
16/08/2021;228;4.59
17/08/2021;229;4.8
18/08/2021;230;10.56
19/08/2021;231;8.08
20/08/2021;232;6.91
21/08/2021;233;6.12
22/08/2021;234;6.4
23/08/2021;235;3.09
24/08/2021;236;4.66
25/08/2021;237;5.07
26/08/2021;238;3.0
27/08/2021;239;3.84
28/08/2021;240;2.26
29/08/2021;241;4.73
30/08/2021;242;3.61
31/08/2021;243;4.03
01/09/2021;244;3.64
02/09/2021;245;5.2
03/09/2021;246;4.2
04/09/2021;247;4.57
05/09/2021;248;5.8
06/09/2021;249;6.17
07/09/2021;250;5.55
08/09/2021;251;3.96
09/09/2021;252;3.16
10/09/2021;253;4.2
11/09/2021;254;3.14
12/09/2021;255;3.37
13/09/2021;256;4.16
14/09/2021;257;2.8
15/09/2021;258;4.0
16/09/2021;259;5.57
17/09/2021;260;4.17
18/09/2021;261;8.38
19/09/2021;262;7.58
20/09/2021;263;5.04
21/09/2021;264;3.41
22/09/2021;265;5.58
23/09/2021;266;4.63
24/09/2021;267;3.17
25/09/2021;268;6.35
26/09/2021;269;4.64
27/09/2021;270;5.91
28/09/2021;271;5.02
29/09/2021;272;3.68
30/09/2021;273;2.73
01/10/2021;274;12.77
02/10/2021;275;4.93
03/10/2021;276;4.16
04/10/2021;277;5.91
05/10/2021;278;4.65
06/10/2021;279;5.62
07/10/2021;280;4.16
08/10/2021;281;4.96
09/10/2021;282;5.21
10/10/2021;283;4.4
11/10/2021;284;5.83
12/10/2021;285;5.84
13/10/2021;286;5.33
14/10/2021;287;3.55
15/10/2021;288;2.42
16/10/2021;289;4.98
17/10/2021;290;8.1
18/10/2021;291;6.47
19/10/2021;292;4.53
20/10/2021;293;7.33
21/10/2021;294;4.93
22/10/2021;295;6.31
23/10/2021;296;8.03
24/10/2021;297;3.34
25/10/2021;298;5.75
26/10/2021;299;6.48
27/10/2021;300;2.57
28/10/2021;301;6.23
29/10/2021;302;7.34
30/10/2021;303;3.32
31/10/2021;304;2.55
01/11/2021;305;3.28
02/11/2021;306;4.83
03/11/2021;307;4.48
04/11/2021;308;3.68
05/11/2021;309;4.27
06/11/2021;310;4.3
07/11/2021;311;5.34
08/11/2021;312;5.12
09/11/2021;313;5.73
10/11/2021;314;7.51
11/11/2021;315;7.52
12/11/2021;316;6.63
13/11/2021;317;3.65
14/11/2021;318;5.41
15/11/2021;319;4.01
16/11/2021;320;5.05
17/11/2021;321;3.92
18/11/2021;322;2.58
19/11/2021;323;3.09
20/11/2021;324;5.23
21/11/2021;325;2.4
22/11/2021;326;6.55
23/11/2021;327;5.91
24/11/2021;328;7.4
25/11/2021;329;6.45
26/11/2021;330;4.0
27/11/2021;331;7.97
28/11/2021;332;6.92
29/11/2021;333;4.09
30/11/2021;334;6.65
01/12/2021;335;10.86
02/12/2021;336;5.06
03/12/2021;337;6.14
04/12/2021;338;6.2
05/12/2021;339;5.34
06/12/2021;340;4.97
07/12/2021;341;7.7
08/12/2021;342;11.4
09/12/2021;343;7.37
10/12/2021;344;3.17
11/12/2021;345;2.75
12/12/2021;346;5.85
13/12/2021;347;7.75
14/12/2021;348;2.07
15/12/2021;349;3.93
16/12/2021;350;4.11
17/12/2021;351;7.46
18/12/2021;352;7.64
19/12/2021;353;3.95
20/12/2021;354;3.32
21/12/2021;355;4.16
22/12/2021;356;7.01
23/12/2021;357;6.09
24/12/2021;358;3.59
25/12/2021;359;5.77
26/12/2021;360;6.82
27/12/2021;361;4.54
28/12/2021;362;5.61
29/12/2021;363;4.55
30/12/2021;364;7.17
31/12/2021;365;5.51